assets/pawns.png
activity_assembly,8,8,256,256
anglo_saxon_castle,272,8,256,256
anglo_saxon_town,536,8,256,256
anglo_saxon_village,800,8,256,256
celtic_village,1064,8,256,256
castle,1328,8,256,256
celtic_castle,1592,8,256,256
celtic_town,8,272,256,256
path2,272,272,536,256
combat_marker,816,272,256,256
hall1,1080,272,256,256
hillfort2,1344,272,256,256
path,1608,272,256,256
village,8,536,256,256
town,272,536,256,256
roman_town,536,536,256,256
raiding,800,536,256,256
village1,1064,536,256,256
roman_castle,1328,536,256,256
roman_village,1592,536,256,256
way_9,1856,536,80,80
way_7,1944,536,80,80
way_4,8,800,80,80
way_5,96,800,80,80
way_8,184,800,80,80
way_6,272,800,80,80
way_3,360,800,80,80
way_11,448,800,80,80
way_2,536,800,80,80
way_1,624,800,80,80
way_10,712,800,80,80
soldier,800,800,64,64
person,872,800,64,64
noble,944,800,64,64
bandit,1016,800,64,64
tok_dread,1088,800,48,48
tok_encumbent,1144,800,48,48
tok_generic,1200,800,48,48
tok_kinship,1256,800,48,48
tok_gift,1312,800,48,48
plus,1368,800,20,20
